filename,artist,title,duration_seconds,cover_path,decided_by
A.R. Rahman - Tango For Taj.mp3,A.R. Rahman,Tango For Taj,178.536,P:\Web Development\Audora\frontend\public\songs\covers\A.R._Rahman_-_Tango_For_Taj.jpg,tags
A.R. Rahman - The Dichotomy Of Fame.mp3,A.R. Rahman,The Dichotomy Of Fame,160.536,P:\Web Development\Audora\frontend\public\songs\covers\A.R._Rahman_-_The_Dichotomy_Of_Fame.jpg,tags
"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan - Tere Bina.mp3",A.R. Rahman/Chinmayi/Murtuza Khan/Qadir Khan,Tere Bina,309.672,P:\Web Development\Audora\frontend\public\songs\covers\A.R._Rahman__Chinmayi__Murtuza_Khan__Qadir_Khan_-_Tere_Bina.jpg,tags
"A.R. Rahman, Lata Mangeshkar - Luka Chuppi.mp3",A.R. Rahman/Lata Mangeshkar,Luka Chuppi,396.552,P:\Web Development\Audora\frontend\public\songs\covers\A.R._Rahman__Lata_Mangeshkar_-_Luka_Chuppi.jpg,tags
"A.R. Rahman, Mohit Chauhan - Nadaan Parinde.mp3",A.R. Rahman/Mohit Chauhan,Nadaan Parinde,384.024,P:\Web Development\Audora\frontend\public\songs\covers\A.R._Rahman__Mohit_Chauhan_-_Nadaan_Parinde.jpg,tags
"A.R. Rahman, Rabbi, Gulzar - Challa.mp3",A.R. Rahman/Rabbi/Gulzar,Challa,320.04,P:\Web Development\Audora\frontend\public\songs\covers\A.R._Rahman__Rabbi__Gulzar_-_Challa.jpg,tags
"AP Dhillon, Shreya Ghoshal - Thodi Si Daaru.mp3",AP Dhillon/Shreya Ghoshal,Thodi Si Daaru,180.288,P:\Web Development\Audora\frontend\public\songs\covers\AP_Dhillon__Shreya_Ghoshal_-_Thodi_Si_Daaru.jpg,tags
"Aastha Gill, Sachin Sanghvi, Jigar Saraiya, Divya Kumar - Kamariya.mp3",Aastha Gill/Sachin Sanghvi/Jigar Saraiya/Divya Kumar,Kamariya,188.208,P:\Web Development\Audora\frontend\public\songs\covers\Aastha_Gill__Sachin_Sanghvi__Jigar_Saraiya__Divya_Kumar_-_Kamariya.jpg,tags
"Abhijeet, Shreya Ghoshal - Dil Kaa Jo Haal Hai.mp3",Abhijeet/Shreya Ghoshal,Dil Kaa Jo Haal Hai,302.64,P:\Web Development\Audora\frontend\public\songs\covers\Abhijeet__Shreya_Ghoshal_-_Dil_Kaa_Jo_Haal_Hai.jpg,tags
Adele - Skyfall.mp3,Adele,Skyfall,286.512,P:\Web Development\Audora\frontend\public\songs\covers\Adele_-_Skyfall.jpg,tags
Aditya A - Awaargi.mp3,Aditya A,Awaargi,61.536,P:\Web Development\Audora\frontend\public\songs\covers\Aditya_A_-_Awaargi.jpg,tags
Aditya A - Chaand Baaliyan.mp3,Aditya A,Chaand Baaliyan,103.296,P:\Web Development\Audora\frontend\public\songs\covers\Aditya_A_-_Chaand_Baaliyan.jpg,tags
Aditya Rikhari - Sahiba.mp3,Aditya Rikhari,Sahiba,190.128,P:\Web Development\Audora\frontend\public\songs\covers\Aditya_Rikhari_-_Sahiba.jpg,tags
Ajay-Atul - Zingaat.mp3,Ajay-Atul,Zingaat,226.536,P:\Web Development\Audora\frontend\public\songs\covers\Ajay-Atul_-_Zingaat.jpg,tags
"Ajay-Atul, Chinmayi - Mera Naam Mary (From 'Brothers').mp3",Ajay-Atul/Chinmayi,"Mera Naam Mary (From ""Brothers"")",311.184,P:\Web Development\Audora\frontend\public\songs\covers\Ajay-Atul__Chinmayi_-_Mera_Naam_Mary__From__Brothers__.jpg,tags
"Akhil Sachdeva, Tulsi Kumar, Kumaar - Tera Ban Jaunga.mp3",Akhil Sachdeva/Tulsi Kumar/Kumaar,Tera Ban Jaunga,236.472,P:\Web Development\Audora\frontend\public\songs\covers\Akhil_Sachdeva__Tulsi_Kumar__Kumaar_-_Tera_Ban_Jaunga.jpg,tags
"Akhil, Dhvani Bhanushali, Kunaal Vermaa, Abhijit Vaghani - Duniyaa (From 'Luka Chuppi').mp3",Akhil/Dhvani Bhanushali/Kunaal Vermaa/Abhijit Vaghani,"Duniyaa (From ""Luka Chuppi"")",222.528,P:\Web Development\Audora\frontend\public\songs\covers\Akhil__Dhvani_Bhanushali__Kunaal_Vermaa__Abhijit_Vaghani_-_Duniyaa__From__Luka_Chuppi__.jpg,tags
"Alka Yagnik, Arijit Singh - Agar Tum Saath Ho.mp3",Alka Yagnik/Arijit Singh,Agar Tum Saath Ho,341.088,P:\Web Development\Audora\frontend\public\songs\covers\Alka_Yagnik__Arijit_Singh_-_Agar_Tum_Saath_Ho.jpg,tags
"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar - Chaleya (From 'Jawan').mp3",Anirudh Ravichander/Arijit Singh/Shilpa Rao/Kumaar,"Chaleya (From ""Jawan"")",200.4,P:\Web Development\Audora\frontend\public\songs\covers\Anirudh_Ravichander__Arijit_Singh__Shilpa_Rao__Kumaar_-_Chaleya__From__Jawan__.jpg,tags
Ankit Tiwari - Sunn Raha Hai (Male Version).mp3,Ankit Tiwari,Sunn Raha Hai (Male Version),390.264,P:\Web Development\Audora\frontend\public\songs\covers\Ankit_Tiwari_-_Sunn_Raha_Hai__Male_Version_.jpg,tags
Anubha Bajaj - Lamhey.mp3,Anubha Bajaj,Lamhey,148.992,P:\Web Development\Audora\frontend\public\songs\covers\Anubha_Bajaj_-_Lamhey.jpg,tags
"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast - Ishq Hai.mp3",Anurag Saikia/Raj Shekhar/Romy/Amarabha Banerjee/Varun Jain/Madhubanti Bagchi/Mismatched - Cast,Ishq Hai,312.888,P:\Web Development\Audora\frontend\public\songs\covers\Anurag_Saikia__Raj_Shekhar__Romy__Amarabha_Banerjee__Varun_Jain__Madhubanti_Bagchi__Mismatched_-_Cast_-_Ishq_Hai.jpg,tags
Anuv Jain - Alag Aasmaan.mp3,Anuv Jain,Alag Aasmaan,212.784,P:\Web Development\Audora\frontend\public\songs\covers\Anuv_Jain_-_Alag_Aasmaan.jpg,tags
Anuv Jain - Baarishein.mp3,Anuv Jain,Baarishein,207.36,P:\Web Development\Audora\frontend\public\songs\covers\Anuv_Jain_-_Baarishein.jpg,tags
Anuv Jain - Gul.mp3,Anuv Jain,Gul,217.296,P:\Web Development\Audora\frontend\public\songs\covers\Anuv_Jain_-_Gul.jpg,tags
"Aparshakti Khurana, Neeti Mohan - Kudiye Ni.mp3",Aparshakti Khurana/Neeti Mohan,Kudiye Ni,204.936,P:\Web Development\Audora\frontend\public\songs\covers\Aparshakti_Khurana__Neeti_Mohan_-_Kudiye_Ni.jpg,tags
Arctic Monkeys - I Wanna Be Yours.mp3,Arctic Monkeys,I Wanna Be Yours,183.984,P:\Web Development\Audora\frontend\public\songs\covers\Arctic_Monkeys_-_I_Wanna_Be_Yours.jpg,tags
Arijit Singh - Main Dhoondne Ko Zamaane Mein (From 'Heartless').mp3,Arijit Singh,"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",263.016,P:\Web Development\Audora\frontend\public\songs\covers\Arijit_Singh_-_Main_Dhoondne_Ko_Zamaane_Mein__From__Heartless__.jpg,tags
